name,rank_2015,firm_2015,rank_2014,firm_2014,rank_2013,firm_2013,rank_2012,firm_2012,rank_2011,firm_2011,rank_2009,firm_2009,rank_2008,firm_2008,rank_2007,firm_2007,rank_2006,firm_2006,rank_2005,firm_2005,uri,gender,notable_deal,citizenship,chinese_zodiac,immigrant
Jim Goetz,1,Sequoia Capital,1,,7,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,jim-goetz,M,WhatsApp,United States,Snake,No
Peter Fenton,2,Benchmark Capital,3,,6,,5,,4,,50,,62,,94,,-1,,-1,,peter-fenton,M,Twitter,United States,Rat,No
Chris Sacca,3,Lowercase Capital,12,,21,,55,,82,,-1,,-1,,-1,,-1,,-1,,chris-sacca,M,Twitter,United States,Rabbit,No
Josh Kopelman,4,First Round Capital LLC,11,,12,,6,,18,,-1,,-1,,-1,,-1,,-1,,josh-kopelman,M,LinkedIn,United States,Pig,No
Steve Anderson,5,Baseline Ventures,8,,22,,51,,-1,,-1,,-1,,-1,,-1,,-1,,steve-anderson,M,Instagram,United States,Rooster,No
Doug Leone,6,Sequoia Capital,6,,4,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,douglas-leone,M,ServiceNow,United States,Rooster,Yes
Paul Madera,7,Meritech Capital Partners,9,,11,,7,,30,,-1,,-1,,-1,,-1,,-1,,paul-madera,M,Facebook,United States,Monkey,No
Neil Shen,8,Sequoia Capital,-1,,-1,,24,,-1,,-1,,-1,,-1,,-1,,-1,,neil-shen,M,Vipshop Holdings,Hong Kong,Rooster,No
Bill Gurley,9,Benchmark Capital,70,,33,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,bill-gurley,M,Uber Technologies,United States,Horse,No
Jenny Lee,10,GGV Capital,52,,36,,94,,-1,,-1,,-1,,-1,,-1,,-1,,jenny-lee,F,Xiaomi,Singapore,Rat,No
Scott Sandell,11,New Enterprise Associates,10,,8,,14,,5,,37,,32,,41,,49,,-1,,scott-sandell,M,Workday,United States,Dragon,No
Peter Thiel,12,Founders Fund Management LLC,4,,3,,8,,7,,-1,,-1,,-1,,-1,,-1,,peter-thiel,M,Facebook,United States,Sheep,Yes
Jim Breyer,13,Accel Partners,5,,1,,1,,1,,-1,,-1,,-1,,-1,,-1,,jim-breyer,M,Facebook,United States,Ox,No
Mike Maples,14,Floodgate,14,,25,,32,,17,,-1,,-1,,-1,,-1,,-1,,mike-maples-jr,M,Twitter,United States,Monkey,No
Mary Meeker,15,Kleiner Perkins Caufield & Byers,21,,47,,42,,-1,,-1,,-1,,-1,,-1,,-1,,mary-meeker,F,Waze Inc.,United States,Pig,No
Michael Moritz,16,Sequoia Capital,13,,13,,13,,2,,2,,2,,1,,1,,2,,michael-moritz,M,LinkedIn,United States,Horse,Yes
Aneel Bhusri,17,Greylock Partners,17,,14,,25,,15,,8,,16,,-1,,-1,,-1,,aneel-bhusri,M,Workday,United States,Horse,No
Fred Wilson,18,Union Square Ventures,15,,16,,20,,12,,-1,,-1,,-1,,-1,,-1,,fred-wilson,M,Twitter,United States,Ox,No
Marc Andreessen,19,Andreessen Horowitz,2,,2,,2,,10,,-1,,-1,,-1,,-1,,-1,,marc-andreessen,M,Twitter,United States,Pig,No
Yuri Milner,20,Digital Sky Technologies Ltd.,35,,35,,29,,25,,-1,,-1,,-1,,-1,,-1,,yuri-milner,M,Twitter,Russia,Ox,No
Roelof Botha,21,Sequoia Capital,29,,19,,61,,-1,,26,,22,,23,,-1,,-1,,roelof-botha,M,Square,South Africa,Ox,Yes
Steven Ji,22,Sequoia Capital,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,steven-ji,M,Dianping,China,Rat,No
Rebecca Lynn,23,Canvas Venture Fund,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,rebecca-lynn,F,Lending Club,United States,,No
Salil Deshpande,24,Bain Capital Ventures,67,,71,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,salil-deshpande,M,Lending Club,United States,Monkey,No
Ben Horowitz,25,Andreessen Horowitz,20,,17,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,ben-horowitz,M,Nicira Networks,United States,Horse,No
Promod Haque,26,Norwest Venture Partners,27,,-1,,-1,,-1,,96,,48,,52,,62,,8,,promod-haque,M,FireEye ,,Rat,Yes
David Sze,27,Greylock Partners,16,,10,,4,,9,,-1,,-1,,-1,,-1,,-1,,david-sze,M,Facebook,United States,Horse,No
Jeremy Levine,28,Bessemer Venture Partners,19,,9,,10,,20,,-1,,-1,,-1,,-1,,-1,,jeremy-levine,M,Yelp Inc.,,Ox,No
Alfred Lin,29,Sequoia Capital,26,,90,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,alfred-lin,M,Airbnb,United States,Rat,Yes
John Doerr,30,Kleiner Perkins Caufield & Byers,23,,26,,12,,14,,1,,1,,2,,2,,1,,john-doerr,M,Twitter,United States,Rabbit,No
Todd Chaffee,31,Institutional Venture Partners,18,,23,,11,,28,,64,,-1,,-1,,-1,,-1,,todd-chaffee,M,Twitter,United States,Pig,No
Hurst Lin,32,DCM,54,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,hurst-lin,M,58.com,United States,Dragon,No
Danny Rimer,33,Index Ventures,85,,34,,39,,59,,-1,,-1,,-1,,34,,-1,,danny-rimer,M,MySQL,Switzerland,Dog,Yes
Reid Hoffman,34,Greylock Partners,7,,5,,3,,3,,-1,,-1,,-1,,-1,,-1,,reid-hoffman,M,Facebook,United States,Sheep,No
Jixun Foo,35,GGV Capital,-1,,-1,,-1,,-1,,43,,75,,11,,-1,,-1,,jixun-foo,M,Xiaomi,Singapore,Monkey,No
Asheem Chandna,36,Greylock Partners,55,,20,,96,,-1,,-1,,-1,,-1,,-1,,-1,,asheem-chandna,M,Palo Alto Networks,United States,Dragon,Yes
Sameer Gandhi,37,Accel Partners,41,,44,,33,,81,,-1,,-1,,-1,,-1,,-1,,sameer-gandhi,M,Dropbox,United States,Snake,No
Gaurav Garg,38,Wing Ventures,86,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,gaurav-garg,M,FireEye,United States,Snake,Yes
Aydin Senkut,39,Felicis Ventures,50,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,aydin-senkut,M,Meraki,United States,Rooster,Yes
Ron Conway,40,SV Angel,65,,41,,15,,13,,-1,,-1,,-1,,-1,,-1,,ron-conway,M,Twitter,United States,Rabbit,No
Harry Weller,41,Enterprise Associates,34,,28,,17,,21,,55,,55,,46,,-1,,-1,,harry-weller,M,Groupon,United States,Rooster,No
Navin Chaddha,42,Mayfield Fund,30,,52,,46,,-1,,11,,10,,58,,-1,,-1,,navin-chaddha,M,Qunar Cayman Islands,United States,Dog,Yes
Hans Tung,43,GGV Capital,69,,100,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,hans-tung,M,Xiaomi,United States,Dog,Yes
Brian Singerman,44,Founders Fund Management LLC,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,brian-singerman,M,Spotify,United States,Snake,No
Rob Hayes,45,First Round Capital LLC,75,,97,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,rob-hayes,M,Uber Technologies,United States,Horse,No
Lee Fixel,46,Tiger Global Management LLC,58,,30,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,lee-fixel,M,Facebook,,Monkey,No
Xiaojun Li,47,IDG Capital Partners,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,xiaojun-li,M,Xiaomi,China,Ox,No
Scott Shleifer,48,Tiger Global Management LLC,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,scott-shleifer,M,JD.com,United States,Snake,No
Ann Lamont,49,Oak Investment Partners,46,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,ann-lamont,F,Benefitfocus,United States,Monkey,No
David Chao,50,DCM,-1,,93,,60,,-1,,17,,-1,,-1,,-1,,58,,david-chao,M,Renren,United States,Horse,No
Ryan Sweeney,51,Accel Partners,45,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,ryan-sweeney,M,Braintree,United States,Snake,No
Michael Goguen,52,Sequoia Capital,44,,-1,,-1,,-1,,-1,,-1,,-1,,67,,30,,michael-goguen,M,Virident Systems,United States,Dragon,No
Jonathan Silverstein,53,OrbiMed Advisors LLC,89,,96,,86,,-1,,-1,,-1,,-1,,-1,,-1,,jonathan-silverstein,M,Intercept Pharmaceuticals,United States,Sheep,No
